class_name,class_id,recurring,credit_hours,prereqs,requirement_designation,campus,class_desc,,
TEST Course,AAAA997UC,,3,,,EM,,,
Intro To African American Studies,AAS100,fall/spring,4,,HSC wRace  Ethnicity Req,EM,This course introduces students to the multiple disciplines that comprise the field of African American Studies and the most salient themes and topics that continue to guide scholars' research interests.,,
Intro To African American Studies,AAS100,fall/spring,4,,,EM,This course introduces students to the multiple disciplines that comprise the field of African American Studies and the most salient themes and topics that continue to guide scholars' research interests.,,
Fresh Sem: Africn Amer Studies: Black Radical Tradition,AAS190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,Variable topics in African American Studies.,,
Fresh Sem: Africn Amer Studies: Global Africa,AAS190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,Variable topics in African American Studies.,,
Fresh Sem: Africn Amer Studies: Sexuality/Gender Afr.Diaspora,AAS190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,Variable topics in African American Studies.,,
Fresh Sem: Africn Amer Studies: Color Struck,AAS190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,Variable topics in African American Studies.,,
Fresh Sem: Africn Amer Studies: Black TV,AAS190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,Variable topics in African American Studies.,,
Jazz: Its Evolution & Essence,AAS215,,3,,Humanities and Arts,EM,"Critical and analytic study of jazz idioms from the turn of the century to the present, including the blues, ragtime, Dixieland, swing, bop, and modern jazz. Emphasis on such figures as Armstrong, Ellington, Parker, Monk, and Coleman.",,
History of African Americans Since 1865,AAS239,,3,,Humanities and Arts with Race  Ethnicity,EM,"Examines African American history from 1865 to the present. Emphasizes regional, gender, and class distinction within African American communities, and the ways in which industrial transformations shaped African American life, thought, and resistance.",,
Racial & Ethnic Relations,AAS247,,3,,Social Sciences with Race  Ethnicity,EM,"Relations between and within groups, and conflict and cooperation in light of a number of models of social interaction. Application of principles to racial, religious, and ethnic minorities.",,
"Race, Place, and Political Economy",AAS259,fall/spring,3,,Social Sciences,EM,"This course focuses on dominant themes in political economy, geography, and behavior literature in the post-Civil Rights Movement era. The intersection of race and class at the local level is addressed while exploring issues of institutional discrimination and redistribution.",,
The Civil Rights Movement,AAS267W,spring,4,,Humanities  Arts with CCommRace  Ethnicity,EM,"An exploration and analysis of the struggle for African American equality with an emphasis on the Civil Rights Movement's development, successes, failures and legacy.",,
Special Topics in African American Studies: Art of the Gods:Black Atlantic,AAS285,fall,3,,HSC wRace  Ethnicity Req,EM,Wide range of topics pertinent to the African American experience.,,
Special Topics in African American Studies: Racial and Gender Formation,AAS285,fall,3,,HSC wRace  Ethnicity Req,EM,Wide range of topics pertinent to the African American experience.,,
Special Topics in African American Studies: Black Culture and Capitalism,AAS285,fall,3,,HSC wRace  Ethnicity Req,EM,Wide range of topics pertinent to the African American experience.,,
Music & Revolution in 1960s,AAS304,,3,,Humanities Arts Performance,EM,"The 1960s was a decade of turbulence and dramatic social and cultural change.  The war in Vietnam, the civil rights and Black Nationalist movements, the so-called sexual revolution, and the popularization of psychedelic drugs all had considerable impact in shaping the musical culture of the day.  This course considers the music of the period, the relationships between musical forms, and the shifting relationships between the communities associated with them.",,
African American Language,AAS347,fall/spring,3,,Race and Ethnicity,EM,"African American Language explores present-day features of AAL, its history and ongoing trajectory, its origins and diverging from Mainstream American English, as well as AAL as an artistic expression and issues related to education, the justice system, and linguistic profiling and discrimination.",,
Slavery in US History and Culture,AAS384,,3,,HSC wRace  Ethnicity Req,EM,"An in-depth study of the current historical knowledge of 19th century slavery in the southern United States; and how slavery has been depicted in popular culture, films and literature in the 20th and 21st centuries.",,
Topics in Afr American Studies: Critical Black Thought,AAS385,fall/spring,3,,HAP wRace  Ethnicity Req,EM,"This course explores one of a wide range of topics pertaining to the African American experience in the fields of human and civil rights, social and literary texts, and the social sciences.",,
Topics in Afr American Studies: Imagining Democracy Lab,AAS385,fall/spring,3,,HAP wRace  Ethnicity Req,EM,"This course explores one of a wide range of topics pertaining to the African American experience in the fields of human and civil rights, social and literary texts, and the social sciences.",,
