class_name                                            ,class_id    ,recurring          ,credit_hours ,prereqs                                                                           ,requirement_designation                ,campus ,class_desc
Computer Science Fundamentals                         ,CS110       ,                   ,           3 ,                                                                                  ,Quantitative Reasoning                 ,EM     ,"A general introduction to computer science including an overview of hardware systems, programming essentials, algorithm design, data handling, and networking. Not intended for students needing a programming background for further work in computer science."
Introduction To Computer Science I                    ,CS170       ,fall/spring/summer ,           4 ,                                                                                  ,Quantitative Reasoning                 ,EM     ,"An introduction to Computer Science for students expecting to utilize serious computing in coursework, research, or employment. Emphasis is on computing concepts, programming principles, algorithm development and basic data structures, using the Java programming language and Unix operating system."
Introduction To Computer Science I                    ,CS170       ,fall/spring/summer ,           4 ,                                                                                  ,Quantitative Reasoning                 ,EM     ,"An introduction to Computer Science for students expecting to utilize serious computing in coursework, research, or employment. Emphasis is on computing concepts, programming principles, algorithm development and basic data structures, using the Java programming language and Unix operating system."
Introduction To Computer Science I                    ,CS170       ,fall/spring/summer ,           4 ,                                                                                  ,Quantitative Reasoning                 ,EM     ,"An introduction to Computer Science for students expecting to utilize serious computing in coursework, research, or employment. Emphasis is on computing concepts, programming principles, algorithm development and basic data structures, using the Java programming language and Unix operating system."
Introduction To Computer Science I                    ,CS170       ,fall/spring/summer ,           4 ,                                                                                  ,Quantitative Reasoning                 ,EM     ,"An introduction to Computer Science for students expecting to utilize serious computing in coursework, research, or employment. Emphasis is on computing concepts, programming principles, algorithm development and basic data structures, using the Java programming language and Unix operating system."
Introduction to Computer Science II                   ,CS171       ,fall/spring/summer ,           3 ,CS170 or CS_OX170                                                                 ,Quantitative Reasoning                 ,EM     ,"A second course in Computer Science, focusing on intermediate programming. Emphasis is on proficiency in the use and implementation of data structures, algorithms for classical programming paradigms, and object oriented design and programming with Java."
Introduction to Computer Science II                   ,CS171       ,fall/spring/summer ,           3 ,CS170 or CS_OX170                                                                 ,Quantitative Reasoning                 ,EM     ,"A second course in Computer Science, focusing on intermediate programming. Emphasis is on proficiency in the use and implementation of data structures, algorithms for classical programming paradigms, and object oriented design and programming with Java."
Introduction to Artificial Intelligence               ,CS211       ,                   ,           3 ,MATH111 or MATH_OX111 or QTM100 or QTM_OX100; CS110 or CS170 or CS_OX170          ,                                       ,EM     ,"Fundamentals, modern concepts, and practices in Artificial Intelligence including computational decision making, knowledge-based agents, propositional logic, search, heuristics, and machine learning. Assessment includes exams and hands-on projects based on real-world problems."
Foundations of Computer Science                       ,CS224       ,fall/spring        ,           3 ,CS170 or CS_OX170; MATH111 or MATH_OX111                                          ,Quantitative Reasoning                 ,EM     ,"An introductory course in the theory of Computer Science, focusing on analysis of discrete structures with applications. Emphasis is on developing familiarity with notation, computational acuity and creative problem solving skills."
Foundations of Computer Science                       ,CS224       ,fall/spring        ,           3 ,CS170 or CS_OX170; MATH111 or MATH_OX111                                          ,Quantitative Reasoning                 ,EM     ,"An introductory course in the theory of Computer Science, focusing on analysis of discrete structures with applications. Emphasis is on developing familiarity with notation, computational acuity and creative problem solving skills."
Data Structures and Algorithms                        ,CS253       ,fall/spring        ,           3 ,CS171 or CS_OX171                                                                 ,Quantitative Reasoning                 ,EM     ,"A third course in Computer Science, focusing on advanced programming. Emphasis is on mastery in the use and implementation of data structures and algorithms for classical programming paradigms, using the Java programming language and object oriented design."
Data Structures and Algorithms                        ,CS253       ,fall/spring        ,           3 ,CS171 or CS_OX171                                                                 ,Quantitative Reasoning                 ,EM     ,"A third course in Computer Science, focusing on advanced programming. Emphasis is on mastery in the use and implementation of data structures and algorithms for classical programming paradigms, using the Java programming language and object oriented design."
