name,rating
Keith Berland,2.6
Marina Cooley,4.8
Shaunna Donaher,4.5
Michael Carr,3.0
Tamara Medina,3.3
Huw Davies,3.2
Sam Wunderly,3.4
Waldman Irwin,3.8
Jake Jo,5.0
Antonietta Di Pietro,2.3
Shankar Ramachandran,4.9
Chikako Ozawa-de Silva,4.4
Pat Brennan,4.4
Matthew Baker,4.6
Tanine Allison,4.6
Karl Schuhmacher,4.5
Niket Jindal,2.0
Steve La Fleur,2.9
Hau Nguyen,4.5
Keith Easterling,2.2
Chris Hansman,5.0
Clifford Carrubba,1.8
Allison Burdette,3.7
John Lindo,4.7
Amin Pouriyeh,3.1
Isabelle Meyer-Ensass,5.0
Katie Condon,5.0
Andrew Kazama,4.7
Tom Smith,3.9
Hashem Dezhbakhsh,4.3
Tao Zha,4.3
Eric Reinhardt,3.3
David Davis,3.2
Jan Barton,2.6
Holli Semetko,2.6
Olivia Johnson,4.7
Paul Bhasin,4.4
Karlie Rodriguez,5.0
James Kindt,3.4
Kristen Broehl,2.9
Kevin McAlister,4.8
Owen Alldritt,4.4
Ken Mandelberg,1.7
Huy Huynh,4.8
Ronald Young,5.0
Jing Wang,4.3
Wenxin Liang,4.7
Jordan Anunike,5.0
Tracy Morkin McGill,4.0
Allison Kays,3.8
Rebekah Spera,4.7
Jack Paine,2.9
Katherine Ostrom,4.1
Alex Dunbar,3.0
Daniel Bosch,3.9
Eric Reinders,4.1
Ana Teixeira,4.3
Sara McClintock,4.9
Maja Taskovic,2.9
Patrick Cafferty,3.8
Jeff Byrne,3.1
Michael McCormick,2.7
Yuki Wang,4.2
Jenny Medina,5.0
Douglas Mulford,2.3
Thomas Bing,4.8
Jong Kim,3.1
Michelle Lampl,2.5
Frank McDonald,3.3
Daniel Dilks,3.6
James Nagy,4.6
William Gilders,3.7
Tian Chan,3.5
Saloni Vastani,3.8
Jared Medina,2.7
Andrea Hershatter,3.5
Insuk Jang,1.0
Crystal Sanders,4.4
John Darges,3.5
Andra Gillespie,3.0
Liana Yepremyan,3.0
Christian Gallichio,5.0
Garrett Waters,4.5
Dieter Jaeger,2.3
Axelle Karera,1.5
Devaka Premawardhana,4.9
Yasmine Bassil,5.0
Kathy Forte,5.0
Daniel LaChance,4.2
Rune Nyord,4.1
Perrine Gaudry,4.0
Bree Ettinger,2.9
Anna Errore,3.9
Alejandro Becerra,4.8
Robert Goddard,3.9
Kevin Crowley,3.6
Jason Eklund,4.9
Stephen Crist,5.0
Arber Tasimi,4.7
Reshma Shah,4.3
Kathleen Campbell,2.9
Vojtech Rodl,4.0
Yuk Cheong,4.0
Levi Morran,4.6
Jason Francisco,3.4
Federico Mandelman,2.6
In-Koo Cho,0.0
David Edwards,3.8
Gary Laderman,4.6
Richard Himes,4.3
Jin Kim,3.7
Jennifer rieser,2.0
Scott Kugle,4.2
Martine Delcroix,2.6
Adriana Chira,4.8
Robert Liu,2.9
Maeve Howett,1.3
Michal Arbilly,3.9
Musa Ayar,4.4
Craig Hill,2.8
Maho Ishiguro,2.1
Donald Lee,3.1
William Wuest,4.2
Alessandro Veneziani,2.7
Brian Vick,4.1
Emma Davenport,4.4
Ruoxuan Xiong,4.8
Karida Brown,3.0
Josephine Tolin,5.0
Katherine McKnelly,1.6
Davide Fossati,3.7
Jay Mayfield,5.0
Andrew Mitchell,4.9
Hugo Mialon,4.5
Arri Eisen,4.4
Melissa Yang,2.9
Cassandra Quave,2.9
Ellen Idler,3.5
Gregory Martin,1.5
Gyanendra Pandey,1.0
Abhishek Ananth,3.0
Kaiji Chen,3.3
Shashank Shekhar,4.4
Susan Gagliardi,3.3
Erica Britt,4.6
Elizabeth Pastan,4.7
Melvin Ayogu,2.1
Allison Cuttner,2.2
Jiwon Kim,1.5
Bomi Lee,4.4
Mingji Dai,4.6
Kashika Singh,2.0
Talea Mayo,3.1
Timothy Holland,4.1
Abbey Julian,4.4
Eladio Abreu,3.1
Sergei Urazhdin,2.8
Steve Savage,3.7
Mizuki Mazzotta,5.0
Sheila Cavanagh,3.1
Danilo Freire,3.5
T. Cooper,3.8
Teddy (Kyungmin) Kim,3.8
Robert Roth,2.6
Molly Epstein,2.8
Charles Goetz,5.0
Insuk Jang Jang,1.0
Shiv Subramaniam,4.8
Yuanzhe Xi,4.7
Jose' Soria,4.4
Elaine Johnson,5.0
Joseph Manns,4.2
Neha Gupta,4.8
Ofra Yeglin,3.2
Stefano Maranzana,5.0
Erica Kanesaka,4.8
Barbara Ladd,3.3
Michael Rich,3.6
Aubrey Graham,4.2
Anqi Hu,2.5
Zhiyun Gong,3.1
Catarina Fernandes,4.1
Andreas Zufle,5.0
Julianne Chung,4.7
Nate Silverblatt,2.7
Miguel Reyes,3.6
Jeff Staton,4.0
Marco Tezzele,1.9
Patrick Allitt,4.1
Tamar Menashe,1.3
Steve Ahn,3.4
Donald Tuten,4.4
Caleb Kelley,2.6
Alexis Mayfield,4.5
FNU Darsono,4.0
Wenjun Gu,3.6
Iain Shepherd,2.7
Taina Figueroa,5.0
Donny Zhao,4.9
Rohit Chakraborty,4.4
Carl Suddler,4.0
Riti Bahl,5.0
Francesco Brarda,5.0
Dionne Nickerson,5.0
Ho Jin Kim,4.1
Courtney Brown,2.7
Apala Bhowmick,3.6
Vincent Conticello,2.5
Hector Alvarez,4.1
Pamela Brown,5.0
Alexander Escobar,2.9
Hubert Tworzecki,4.2
Jasmine Clark,2.7
Asha Stephens,5.0
Simon Blakey,4.4
Linette Park,4.5
Edward Nam,4.9
Antonio Brathwaite,4.8
Courtney Freer,4.5
Tsepak Rigzin,4.8
Hayk Harutyunyan,2.0
Sam Cherribi,4.0
Michael Reinhard,4.0
Shaily Parihar,2.5
Wanda Csaky,2.5
Jacobus De Roode,4.6
Angela Porcarelli,4.3
Monika Raj,4.3
Shahima Islam,1.0
Jennifer Frediani,5.0
Michelle Armstrong-Partida,2.6
Jie Yao,4.2
Meredith Schweig,5.0
Sandra Blakely,4.2
Ryno Kruger,4.2
Harold Gouzoules,3.3
Deborah White,4.4
Hong Li,5.0
John Kim,4.4
Heesun Yoo,3.6
Elizabeth Goodstein,3.7
Zitong Pei,2.7
Yana Bromberg,1.8
Jane O'Connor,5.0
Leonardo Molinari,4.5
Steven L'Hernault,4.2
Klaas Baks,3.9
Emily Burchfield,5.0
Dan Abitz,4.8
Renard Sexton,4.8
Cesar Sierra,3.6
Paloma Moyano,2.7
Megan Reed,3.6
Kiela Crabtree,4.3
Eric Battaglioli,3.2
Jonathan prude,4.4
Brent Glenn,5.0
Astrid Eckert,4.4
Daniel Westbrook,4.6
Vivian Yue,3.6
Amanda Freeman,3.4
Shilpi Mandal,4.2
Andrew Kaplan,2.3
Nikki Graves,2.8
Ju Hyun Park,4.8
Robyn Clarke,4.7
Lance Gunderson,3.7
Carl Yang,4.3
Mandy Suhr-Sytsma,4.4
Ashlee Bledsoe,3.5
George Staib,4.8
Tarun Chordia,3.3
Abigail Julian,4.9
Elena Glazov-Corrigan,4.8
Krzysztof Karbownik,4.5
Beretta Smith-Shomade,2.3
Pamela Hall,5.0
Ian McCarthy,4.3
Patton White,4.4
Phillip Wolff,3.6
Tianshi Xu,4.6
Ethan Heyboer,5.0
Peter Little,3.3
Benjamin Yellin,5.0
Emily Wall,5.0
Rachel Hamilton,2.3
Wei Jin,5.0
James Rilling,3.1
Robert Hampton,3.4
Ruby Lal,2.1
Kristin Williams,1.2
David Zureick-Brown,4.5
Mikhail Lepilov,1.4
Hillary Rodman,4.0
Walter Kalaidjian,3.7
Tiphanie Yanique,4.7
Pazit Kahlon-Shelnutt,5.0
Jill Welkley,4.8
Brigitte Tsobgny,1.5
Erica Craig,5.0
Angela Tharpe,5.0
Nikola Johnson,3.0
Daniel Estrada,5.0
Peter Wakefield,4.8
Vera Proskurina,4.8
Julio Medina,4.5
Stephen O'Connell,3.6
Julie Clennon,3.5
Jinyu Liu,5.0
Gregory Zinman,5.0
Emily Bianchi,4.3
Matthew Weinschenk,4.6
Tracy Scott,4.8
James Morey,4.4
Julian Currents,4.9
Achille Castaldo,4.6
Lucas Onisk,3.3
Heather Christle,4.2
Skye Comstra,4.4
Katherine Rosenblatt,3.7
Sarah McPhee,4.1
Vincent Bruyere,5.0
Irene Browne,3.3
Karen Stolley,4.8
Julia Bullock,4.1
Oleg Proskurin,4.7
Marcela Benitez,5.0
Jadon Adams,5.0
Kemal Budak,4.8
John Stuhr,4.3
Catherine Nickerson,3.6
Juan Villeta-Garcia,3.4
Louise Pratt,4.7
Stacy Lafley,4.9
Deependra Singh,3.0
Christine Ristaino,4.9
Marjorie Pak,4.8
Anthony Martin,4.6
Judith Miller,3.8
Margaret Jones,4.3
Julia Tulke,5.0
Shanna Early,2.0
Laura Ackerman,4.0
Cosmin Pohoata,5.0
Erin Bonning,4.8
Michael Peletz,4.2
Shanshuang Yang,3.2
Elena Cholakova,4.9
Harshita Kamath,4.4
Matthias Chung,5.0
Jeffrey Mullis,4.0
Cristy Tower-Gilchrist,3.0
Maria Arbatskaya,3.8
Sagit Shaked,4.8
Nahomi Ichino,2.2
Angela Harris,5.0
Bin Xu,3.4
Ishanika Sharma,3.7
Ryan Hamilton,2.7
Lisa Dillman,4.9
Lars Ruthotto,3.4
Frank Lechner,4.7
Craig Hadley,4.5
Robert Bartlett,4.3
Craig Perry,4.1
James Pellerito,5.0
Eric Bulakites,4.8
Maxwell Auerbach,5.0
Jeffery Lesser,4.0
Josephine Bou Dagher,4.0
Yami Rodriguez,5.0
Merida Batiste,4.3
Patrick Pender,5.0
Kate O'Toole,2.6
Melissa Williams,4.3
Nichole Powell,1.3
Philip Brankin,2.3
Steve Walton,2.8
Michaelangelo Grigni,3.9
James Hoesterey,4.7
Sara Culpepper,2.3
Andrea Roeser,3.8
Kristin Phillips,4.8
Dominique Lewis,2.0
Carol Anderson,5.0
Chris Beck,3.6
Paul Kelleher,3.6
Yun Kim,3.4
Maria Sibau,4.8
Benjamin Reiss,4.5
Martine Brownley,4.3
Cheng Hsu-Te,4.5
Ellie Schainker,3.5
Subha Xavier,4.0
Gonzalo Vazquez-Prokopec,4.4
Samantha Wrisley,5.0
Myoung Eun Pang,4.3
Megan Cole,3.3
Jonathan Master,4.8
Douglas Bowman,3.1
Donna McDermott,2.4
Xinxin Yang,3.1
Omar Quinonez,4.6
Katie Leinenbach,3.0
Raphael Ribeiro,4.0
Usha Rackliffe,3.2
Claire Nouvet,4.3
Jane Foley,4.6
Jimena Martin Tempestti,3.5
Elijah Zehyoue,5.0
Megan Mucioki,4.0
Cordell Donofrio,2.8
Jessica Wahman,4.2
Daniel Reynolds,4.9
Yanna Yannakakis,4.6
Yiran Wang,4.1
Jasmine Clark,2.0
Vincent Ciavatta,3.4
Jeehwan Lee,5.0
James Turner,5.0
Jennifer Feldman,4.8
Dorian Arnold,2.5
Andreas Fritz,3.6
Michelle Gordon,4.5
Andres Fritz,3.6
Andrea Dittmann,4.5
Minsu Kim,2.1
Elizabeth Kim,4.4
Nosayba El-Sayed,4.5
Rachel Hall-Clifford,4.8
Jianxin Zhao,4.6
Nesar Uddin,4.2
Nikki Graves,3.5
Zachary Bowersox,4.6
Cynthia Willett,3.4
Vanessa Brown,2.8
Jodi Guest,2.0
Kimberly Wallace Sanders,1.9
William Mann,4.5
Dustin Peone,4.6
Hiram Maxim,4.7
Julia Ruck,5.0
Sergio Gárate,1.0
Jessica Barber,4.9
Marshall Duke,5.0
Elva Gonzalez-Hernandez,4.7
Ren Tan,4.7
JT Pynne,5.0
Jinho Choi,4.0
Benjamin Miller,5.0
Didem Uca,5.0
Alicja Podbielska,5.0
Raphael Riberio,3.5
Marina Magloire,2.5
Alissa Bans,3.9
Wesley Longhofer,5.0
Paul Buchholz,4.8
Maryam Khaqan,1.6
Brian Dyer,4.2
Patti Landerfelt,2.8
Zachary Peskowitz,4.4
Valerie Babb,5.0
Emil' Keme,3.0
Elyce Strong-Mann,3.0
Yao Wang,5.0
Jose Boigues,4.4
Cristina Tarazona,4.1
Pamela Scully,4.4
Caitlin Hargraves,4.4
Rylie Johnson,4.8
Dilek Huseyinzadegan,4.0
Sasha Debevec-McKenney,5.0
Gordon Berman,3.0
Sydney Spangler,1.0
David Barba,4.0
Lauren Christiansen,4.4
Devin Stewart,3.9
Jacqui Brown,3.5
Idit Ben-Simon,4.8
Lynne Huffer,4.9
Gehane Shehata,4.2
Eve Rosenzweig,3.9
Jad Nasrini,4.0
Aizhan Anarkulova,2.3
Caroline Fohlin,3.0
David McMillon,4.4
Johanna Montlouis-Gabriel,4.0
Shomu Banerjee,4.1
Imon Banerjee,2.5
Fernando Valverde Rodriguez,5.0
Idowu Ajibade,4.0
Corey Brill,5.0
Rose Deighton-Mohammed,5.0
Frank Gaertner,5.0
Elizabeth Newman,4.8
Jose Binongo,3.2
Astrid Prinz,3.7
Elizabeth Noell,4.9
Katherine Taylor,4.8
Linda Merrill,4.0
Kelli Lanier,2.9
Manuela Manetta,3.8
Brianna Yamasaki,4.8
Xiao Huang,5.0
Alex Avramov,5.0
Lori Teague,3.0
Jeff Epstein,3.8
Donna Maney,4.0
Joy Osmanski,5.0
Luiz Santos,4.6
Ajit Srivastava,4.8
Sharon Strocchia,4.4
Eric Lonsdorf,4.0
Tonya Smalls,1.4
Benjamin Jordan,1.3
Joshua Jayasundara,1.0
Deanna Womack,1.0
Matthew Payne,4.5
Rohan Ganduri,4.6
Megan Massa,4.8
Andrea Fitzroy,5.0
Laura Nenzi,5.0
Gillian Hue,3.3
Ali Cohen,3.4
Ebony Respress,1.1
Justin Burton,3.3
Charles Olney,3.8
Eric Bulakites,4.3
Geoffrey Levin,4.5
Nikki Toombs,2.0
Niall Slater,4.7
Will Travers,3.5
Sorin Huh,3.7
Nargis Virani,3.9
Nicholas Valerio,3.5
Roberto Franzosi,3.2
Wladimir Benalcazar,2.5
Michael Evenden,4.2
Nicole Gerardo,4.8
Violeta Espigares,5.0
Dan Reiter,4.2
Eri Saikawa,2.9
Carrie Keogh,3.2
Janeria Easley,3.0
Paul Moon,4.6
Sara Botto,4.7
Emily Master,4.9
David Hirshberg,2.7
Matthew Wells,4.5
J. Lichtman,1.0
Hossein Amiri,5.0
Hsu-Te Cheng,4.4
Alexander Escobar,2.9
Adriana Mendez,5.0
Evan Saltzman,4.6
Cathryn Johnson,5.0
Clifton Green,4.6
Maria Montalvo,4.0
Rohan Palmer,4.1
Timothy Dowd,4.9
Gonzalo Maturana,3.4
Liang Zhao,2.9
Karl Kuhnert,4.8
Everet Smith,5.0
Joyce Ho,2.9
Hossein Samei,4.6
Sue Mialon,3.5
Michael Prietula,2.2
Benn Konsynski,3.0
Richard Berlin,5.0
Chang Su,2.0
Noelle Giguere,5.0
Davi Cordeiro Moreira,2.3
Samuel Sober,4.6
KC Diwas,4.0
Matthew Bernstein,4.3
Jinsook Kim,4.0
Tetyana Balyuk,1.9
Brendan Montagnes,3.6
Bin Wei,3.3
Sameena Mulla,3.5
Kim Loudermilk,4.0
Laura Catano,2.5
Danielle Jung,4.1
Eugene Agichtein,2.9
Roger Deal,3.6
Ana Vieyra-Ramirez,5.0
Michelle Wright,4.5
Bernard Krumm,3.7
Jitendra Thakur,5.0
Robert Wyttenbach,3.4
Megan O'Neil,4.5
Nancy Bliwise,2.7
Nicole Yang,2.9
Elizabeth Lonsdorf,3.6
Lisa Lee,4.4
Cassandra Estep,3.9
Mike Lewis,4.9
Matt Lyle,5.0
Elaine Walker,3.3
Nikolay Osadchiy,3.9
J. Alex Grizzell,4.6
Michael Berger,4.6
Bill McKinnon,1.0
Bronwynn Tarr,1.0
Noelle McAfee,4.6
Tonio Andrade,4.8
